 Allerton , $92.81 
 Arden Heights , $119.20 
 Arrochar , $125.05 
 Arverne , $249.07 
 Astoria , $97.30 
 Bath Beach , $92.79 
 Battery Park City , $237.17 
 Bay Ridge , $99.52 
 Bay Terrace , $110.20 
" Bay Terrace, Staten Island ", $55.00 
 Baychester , $81.75 
 Bayside , $138.33 
 Bayswater , $98.44 
 Bedford-Stuyvesant , $106.78 
 Belle Harbor , $216.75 
 Bellerose , $88.70 
 Belmont , $62.33 
 Bensonhurst , $73.12 
 Bergen Beach , $118.31 
 Boerum Hill , $189.84 
 Borough Park , $67.84 
 Breezy Point , $228.67 
 Briarwood , $366.16 
 Brighton Beach , $120.64 
 Bronxdale , $62.67 
 Brooklyn Heights , $201.11 
 Brownsville , $102.48 
 Bull's Head , $49.67 
 Bushwick , $83.27 
 Cambria Heights , $87.87 
 Canarsie , $103.34 
 Carroll Gardens , $174.19 
 Castle Hill , $71.67 
 Castleton Corners , $117.00 
 Chelsea , $216.91 
 Chinatown , $138.67 
 City Island , $118.25 
 Civic Center , $159.44 
 Claremont Village , $83.23 
 Clason Point , $90.04 
 Clifton , $107.33 
 Clinton Hill , $175.16 
 Cobble Hill , $191.35 
 College Point , $94.39 
 Columbia St , $173.46 
 Concord , $68.75 
 Concourse , $84.81 
 Concourse Village , $67.76 
 Coney Island , $94.53 
 Co-op City , $61.33 
 Corona , $70.04 
 Crown Heights , $112.08 
 Cypress Hills , $160.27 
 Ditmars Steinway , $98.03 
 Dongan Hills , $115.80 
 Douglaston , $158.56 
 Downtown Brooklyn , $149.71 
 DUMBO , $189.70 
 Dyker Heights , $88.24 
 East Elmhurst , $82.52 
 East Flatbush , $86.54 
 East Harlem , $136.63 
 East Morrisania , $93.82 
 East New York , $95.30 
 East Village , $174.72 
 Eastchester , $158.40 
 Edenwald , $103.75 
 Edgemere , $96.50 
 Elmhurst , $64.59 
 Eltingville , $156.50 
 Emerson Hill , $73.60 
 Far Rockaway , $148.79 
 Fieldston , $281.50 
 Financial District , $335.39 
 Flatbush , $91.57 
 Flatiron District , $367.42 
 Flatlands , $99.71 
 Flushing , $96.70 
 Fordham , $77.04 
 Forest Hills , $122.36 
 Fort Greene , $154.84 
 Fort Hamilton , $112.67 
 Fort Wadsworth , $800.00 
 Fresh Meadows , $136.35 
 Gerritsen Beach , $100.00 
 Glendale , $61.72 
 Gowanus , $162.54 
 Gramercy , $193.51 
 Graniteville , $76.50 
 Grant City , $58.40 
 Gravesend , $93.06 
 Great Kills , $68.33 
 Greenpoint , $139.21 
 Greenwich Village , $247.99 
 Grymes Hill , $139.50 
 Harlem , $117.91 
 Hell's Kitchen , $201.84 
 Highbridge , $76.90 
 Hollis , $78.00 
 Holliswood , $171.00 
 Howard Beach , $142.96 
 Howland Hook , $164.75 
 Huguenot , $180.00 
 Hunts Point , $56.58 
 Inwood , $78.36 
 Jackson Heights , $79.58 
 Jamaica , $91.92 
 Jamaica Estates , $233.23 
 Jamaica Hills , $83.17 
 Kensington , $97.84 
 Kew Gardens , $108.18 
 Kew Gardens Hills , $114.24 
 Kingsbridge , $92.32 
 Kips Bay , $189.25 
 Laurelton , $84.68 
 Lighthouse Hill , $147.50 
 Little Italy , $221.19 
 Little Neck , $88.50 
 Long Island City , $141.49 
 Longwood , $95.63 
 Lower East Side , $196.62 
 Manhattan Beach , $115.73 
 Marble Hill , $89.69 
 Mariners Harbor , $84.18 
 Maspeth , $88.99 
 Melrose , $64.63 
 Middle Village , $124.62 
 Midland Beach , $100.14 
 Midtown , $291.79 
 Midwood , $81.77 
 Mill Basin , $103.44 
 Morningside Heights , $103.59 
 Morris Heights , $75.33 
 Morris Park , $69.95 
 Morrisania , $83.04 
 Mott Haven , $98.95 
 Mount Eden , $66.80 
 Mount Hope , $92.61 
 Murray Hill , $217.71 
 Navy Yard , $109.31 
 Neponsit , $275.00 
 New Brighton , $52.25 
 New Dorp , $103.33 
 New Dorp Beach , $78.00 
 New Springville , $79.67 
 NoHo , $261.46 
 Nolita , $184.15 
 North Riverdale , $93.50 
 Norwood , $75.11 
 Oakwood , $107.20 
 Olinville , $59.43 
 Ozone Park , $82.67 
 Park Slope , $168.56 
 Parkchester , $84.40 
 Pelham Bay , $131.92 
 Pelham Gardens , $117.23 
 Port Morris , $94.67 
 Port Richmond , $51.22 
 Prince's Bay , $300.00 
 Prospect Heights , $142.08 
 Prospect-Lefferts Gardens , $108.31 
 Queens Village , $95.94 
 Randall Manor , $189.62 
 Red Hook , $146.67 
 Rego Park , $92.86 
 Richmond Hill , $92.22 
 Richmondtown , $76.00 
 Ridgewood , $83.19 
 Riverdale , $248.60 
 Rockaway Beach , $163.54 
 Roosevelt Island , $99.34 
 Rosebank , $138.25 
 Rosedale , $80.45 
 Rossville , $61.00 
 Schuylerville , $62.00 
 Sea Gate , $418.23 
 Sheepshead Bay , $152.78 
 Shore Acres , $145.33 
 Silver Lake , $93.25 
 SoHo , $260.11 
 Soundview , $52.06 
 South Beach , $45.00 
 South Ozone Park , $90.22 
 South Slope , $144.88 
 Springfield Gardens , $107.48 
 Spuyten Duyvil , $209.67 
 St. Albans , $96.72 
 St. George , $120.05 
 Stapleton , $104.00 
 Stuyvesant Town , $174.71 
 Sunnyside , $82.86 
 Sunset Park , $102.76 
 Theater District , $253.53 
 Throgs Neck , $96.78 
 Todt Hill , $227.00 
 Tompkinsville , $80.95 
 Tottenville , $309.00 
 Tremont , $78.50 
 Tribeca , $381.11 
 Two Bridges , $104.28 
 Unionport , $134.62 
 University Heights , $57.83 
 Upper East Side , $183.91 
 Upper West Side , $193.32 
 Van Nest , $110.14 
 Vinegar Hill , $218.48 
 Wakefield , $108.68 
 Washington Heights , $99.63 
 West Brighton , $89.26 
 West Farms , $70.00 
 West Village , $234.60 
 Westchester Square , $70.88 
 Westerleigh , $92.50 
 Whitestone , $120.58 
 Williamsbridge , $111.89 
 Williamsburg , $132.45 
 Willowbrook , $309.00 
 Windsor Terrace , $129.74 
 Woodhaven , $71.99 
 Woodlawn , $99.17 
 Woodrow , $700.00 
 Woodside , $61.47 
